Word,Definition
owners,(law) someone who owns (is legal possessor of) a business
businesses,a commercial or industrial enterprise and the people who constitute it
added,"make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of"
offered,"make available or accessible, provide or furnish"
pipe,a tube with a small bowl at one end; used for smoking tobacco
talk,an exchange of ideas via conversation
mouthful,the quantity that can be held in the mouth
devious,indirect in departing from the accepted or proper way; misleading
spies,(military) a secret agent hired by a state to obtain information about its enemies or by a business to obtain industrial secrets from competitors
planning,an act of formulating a program for a definite course of action
showed,give an exhibition of to an interested audience
bellows,a mechanical device that blows a strong current of air; used to make a fire burn more fiercely or to sound a musical instrument
smooth,the act of smoothing
chord,a straight line connecting two points on a curve
view,a way of regarding situations or topics etc.
peace,the state prevailing during the absence of war
smoke,a cloud of fine particles suspended in a gas
tribe,a social division of (usually preliterate) people
friends,a person you know well and regard with affection and trust
samovar,a metal urn with a spigot at the base; used in Russia to boil water for tea
wagon,any of various kinds of wheeled vehicles drawn by an animal or a tractor
red,red color or pigment; the chromatic color resembling the hue of blood
lugging,carry with difficulty
found,food and lodging provided in addition to money
entirely,to a complete degree or to the full or entire extent (`whole' is often used informally for `wholly')
tea,a beverage made by steeping tea leaves in water
marbles,a children's game played with little balls made of a hard substance (as glass)
flowers,a plant cultivated for its blooms or blossoms
flour,fine powdery foodstuff obtained by grinding and sifting the meal of a cereal grain
pretty,pleasing by delicacy or grace; not imposing
sounds,the particular auditory effect produced by a given cause
letters,the literary culture
butter,an edible emulsion of fat globules made by churning milk or cream; for cooking and table use
hips,either side of the body below the waist and above the thigh
listen,hear with intention
plate,(baseball) base consisting of a rubber slab where the batter stands; it must be touched by a base runner in order to score
sandwiches,two (or more) slices of bread with a filling between them
open,a clear or unobstructed space or expanse of land or water
faced,deal with (something unpleasant) head on
pats,the sound made by a gentle blow
admit,declare to be true or admit the existence or reality or truth of
learned,gain knowledge or skills
alphabet,a character set that includes letters and is used to write a language
lesson,a unit of instruction
pumpkin,a coarse vine widely cultivated for its large pulpy round orange fruit with firm orange skin and numerous seeds; subspecies of Cucurbita pepo include the summer squashes and a few autumn squashes
neat,clean or organized
tidy,receptacle that holds odds and ends (as sewing materials)
furniture,furnishings that make a room or other area ready for occupancy
wooden,made or consisting of (entirely or in part) or employing wood
pie,dish baked in pastry-lined pan often with a pastry top
shining,the work of making something smooth and shiny by rubbing or waxing it
hallway,an interior passage or corridor onto which rooms open
making,the act that results in something coming to be
glow,an alert and refreshed state
orange,round yellow to orange fruit of any of several citrus trees
sun,the star that is the source of light and heat for the planets in the solar system
lying,the deliberate act of deviating from the truth
pillows,a cushion to support the head of a sleeping person
propped,support by placing against something solid or rigid
allowed,make it possible through a specific action or lack of action for something to happen
shrieking,sharp piercing cry
resettled,settle in a new place
chair,"a seat for one person, with a support for the back"
nearby,close at hand
bath,a vessel containing liquid in which something is immersed (as to process it or to maintain it at a constant temperature or to lubricate it)
pillow,a cushion to support the head of a sleeping person
smile,a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement
pain,a symptom of some physical hurt or disorder
winced,"draw back, as with fear or pain"
bite,a wound resulting from biting by an animal or a person
nearly,(of actions or states) slightly short of or not quite accomplished; all but
stomach,an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion
discussing,to consider or examine in speech or writing
tears,the process of shedding tears (usually accompanied by sobs or other inarticulate sounds)
magnifying,"increase in size, volume or significance"
conversational,characteristic of informal spoken language or conversation
freckles,a small brownish spot (of the pigment melanin) on the skin
bossy,offensively self-assured or given to exercising usually unwarranted power
calm,steadiness of mind under stress
imagined,form a mental image of something that is not present or that is not the case
skin,a natural protective body covering and site of the sense of touch
second,1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites
graft,(surgery) tissue or organ transplanted from a donor to a recipient; in some cases the patient can be both donor and recipient
bites,a wound resulting from biting by an animal or a person
lobby,a large entrance or reception room or area
worse,something inferior in quality or condition or effect
operation,the state of being in effect or being operative
hitting,the act of contacting one thing with another
stealing,the act of taking something from someone unlawfully
planned,have the will and intention to carry out some action
ate,goddess of criminal rashness and its punishment
soon,in the near future
scared,cause fear in
minute,a unit of time equal to 60 seconds or 1/60th of an hour
sighed,heave or utter a sigh; breathe deeply and heavily
better,something superior in quality or condition or effect
feeling,the experiencing of affective and emotional states
restocking,stock again
rushed,move fast
carved,form by carving
scooped,take out or up with or as if with a scoop
showing,the display of a motion picture
punished,impose a penalty on; inflict punishment on
smiling,a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement
goop,"any thick, viscous matter"
cash,money in the form of bills or coins
bored,cause to be bored
connection,a relation between things or events (as in the case of one causing the other or sharing features with it)
arrest,the act of apprehending (especially apprehending a criminal)
cart,a heavy open wagon usually having two wheels and drawn by an animal
jail,a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence)
playground,an area where many people go for recreation
getting,the act of acquiring something
shelves,a support that consists of a horizontal surface for holding objects
baked,cook and make edible by putting in a hot oven
bring,take something or somebody with oneself somewhere
fun,activities that are enjoyable or amusing
managed,be successful; achieve a goal
basket,a container that is usually woven and has handles
fit,a display of bad temper
barely,only a very short time before; ; ; ; ; - W.B.Yeats
bag,a flexible container with a single opening
mixed,mix together different elements
working,a mine or quarry that is being or has been worked
nervously,in an anxiously nervous manner
scrubbing,the act of cleaning a surface by rubbing it with a brush and soap and water
bare,lay bare
case,an occurrence of something
display,something intended to communicate a particular impression
windows,(trademark) an operating system with a graphical user interface
displays,something intended to communicate a particular impression
shops,a mercantile establishment for the retail sale of goods or services
drugstore,a retail shop where medicine and other articles are sold
fingering,the placement of the fingers for playing different notes (or sequences of notes) on a musical instrument
weekend,a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday
complaining,"express complaints, discontent, displeasure, or unhappiness"
headaches,something or someone that causes anxiety; a source of unhappiness
shook,a disassembled barrel; the parts packed for storage or shipment
rode,"sit and travel on the back of animal, usually while controlling its motions"
bike,a motor vehicle with two wheels and a strong frame
coming,the act of drawing spatially closer to something
patient,a person who requires medical care
create,make or cause to be or to become
schoolkids,unavailable
shop,a mercantile establishment for the retail sale of goods or services
usually,under normal conditions
night,the time after sunset and before sunrise while it is dark outside
style,how something is done or how it happens
great,a person who has achieved distinction and honor in some field
oven,kitchen appliance used for baking or roasting
ladies,a polite name for any woman
seeds,a small hard fruit
banged,strike violently
fewer,(comparative of `few' used with count nouns) quantifier meaning a smaller number of
try,earnest and conscientious activity intended to do or accomplish something
fact,a piece of information about circumstances that exist or events that have occurred
harder,not easy; requiring great physical or mental effort to accomplish or comprehend or endure
ignore,refuse to acknowledge
thoughts,the content of cognition; the main thing you are thinking about
round,a charge of ammunition for a single shot
treating,interact in a certain way
trick,a cunning or deceitful action or device
approaching,the event of one object coming closer to another
circles,ellipse in which the two axes are of equal length; a plane curve generated by one point moving at a constant distance from a fixed point
chasing,go after with the intent to catch
tail,the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body
paint,a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating
deliver,"deliver (a speech, oration, or idea)"
feed,food for domestic livestock
surprised,cause to be surprised
cry,a loud utterance; often in protest or opposition
warily,in a wary manner
rained,precipitate as rain
excited,arouse or elicit a feeling
looks,the feelings expressed on a person's face
pajamas,a pair of loose trousers tied by a drawstring around the waist; worn by men and women in some Asian countries
early,at or near the beginning of a period of time or course of events or before the usual or expected time
flew,travel through the air; be airborne
fresh,"recently made, produced, or harvested"
chocolate,a beverage made from cocoa powder and milk and sugar; usually drunk hot
hot,used of physical heat; having a high or higher than desirable temperature or giving off heat or feeling or causing a sensation of heat or burning
quiet,a period of calm weather
o’-lantern,unavailable
cup,a small open container usually used for drinking; usually has a handle
admiring,feel admiration for
crunching,make a crushing noise
opened,cause to open or to become open
mud,water soaked soil; soft wet earth
covered,provide with a covering or cause to be covered
egg,animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds
boiled,come to the boiling point and change from a liquid to vapor
body,"the entire structure of an organism (an animal, plant, or human being)"
oily,containing an unusual amount of grease or oil
grinning,a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement
jack,a small worthless amount
clipping,an excerpt cut from a newspaper or magazine
meant,mean or intend to express or convey
published,put into print
pinking,"make light, repeated taps on a surface"
shears,large scissors with strong blades
afternoons,the part of the day between noon and evening
cut,a share of the profits
suffered,undergo or be subjected to
severe,intensely or extremely bad or unpleasant in degree or quality
drew,United States actor (born in Ireland); father of Georgiana Emma Barrymore (1827-1862)
bats,nocturnal mouselike mammal with forelimbs modified to form membranous wings and anatomical adaptations for echolocation by which they navigate
skeletons,something reduced to its minimal form
hidden,prevent from being seen or discovered
grove,a small growth of trees without underbrush
yesterday,the day immediately before today
note,a brief written record
talents,natural abilities or qualities
downers,a drug that reduces excitability and calms a person
degree,a position on a scale of intensity or amount or quality
burns,United States comedian and film actor (1896-1996)
skirt,cloth covering that forms the part of a garment below the waist
month,one of the twelve divisions of the calendar year
fire,the event of something burning (often destructive)
coat,an outer garment that has sleeves and covers the body from shoulder down; worn outdoors
arm,a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
draped,arrange in a particular way
discover,"discover or determine the existence, presence, or fact of"
instead,"in place of, or as an alternative to"
okay,an endorsement
leaving,the act of departing
couch,an upholstered seat for more than one person
plucked,pull or pull out sharply
candy,a rich sweet made of flavored sugar and often combined with fruit or nuts
mind,that which is responsible for one's thoughts and feelings; the seat of the faculty of reason
sharing,using or enjoying something jointly with others
sauntered,walk leisurely and with no apparent aim
afraid,filled with fear or apprehension
leftover,a small part or portion that remains after the main part no longer exists
eating,the act of consuming food
whispered,speak softly; in a low voice
sorry,feeling or expressing regret or sorrow or a sense of loss over something done or undone
handful,a small number or amount
tonight,the present or immediately coming night
gathering,a group of persons together in one place
watched,look attentively
porch,a structure attached to the exterior of a building often forming a covered entrance
thinks,an instance of deliberate thinking
tried,make an effort or attempt
grab,a mechanical device for gripping an object
aside,a line spoken by an actor to the audience but not intended for others on the stage
seeing,perception by means of the eyes
dreaded,be afraid or scared of; be frightened of
worth,an indefinite quantity of something having a specified value
tomorrow,the day after today
stay,continuing or remaining in a place or state
wake,the consequences of an event (especially a catastrophic event)
punched,deliver a quick blow to
bridge,a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.
shoulder,the part of the body between the neck and the upper arm
treats,something considered choice to eat
wo,unavailable
treaters,someone who negotiates (confers with others in order to reach a settlement)
pill,something that resembles a tablet of medicine in shape or size
guiltily,in the manner of someone who has committed an offense
drink,a single serving of a beverage
played,participate in games or sport
continued,"continue a certain state, condition, or activity"
bill,a statute in draft before it becomes law
tricks,a cunning or deceitful action or device
watch,a small portable timepiece
ready,poised for action
bologna,the capital of Emilia-Romagna; located in northern Italy to the east of the Apennines
bottle,a glass or plastic vessel used for storing drinks or other liquids; typically cylindrical without handles and with a narrow neck that can be plugged or capped
fine,money extracted as a penalty
math,a science (or group of related sciences) dealing with the logic of quantity and shape and arrangement
far,a terrorist organization that seeks to overthrow the government dominated by Tutsi and to institute Hutu control again
improve,to make better
wandered,"move about aimlessly or without any destination, often in search of food or employment"
nerves,an uneasy psychological state
scheduled,plan for an activity or event
o’clock,unavailable
set,a group of things of the same kind that belong together and are so used
tables,a set of data arranged in rows and columns
living,the experience of being alive; the course of human events and activities
men,the force of workers available
replied,react verbally
shame,a painful emotion resulting from an awareness of inadequacy or guilt
spoon,a piece of cutlery with a shallow bowl-shaped container and a handle; used to stir or serve or take up food
investigating,the work of inquiring into something thoroughly and systematically
woman,an adult female person (as opposed to a man)
length,the linear extent in space from one end to the other; the longest dimension of something that is fixed in place
raspy,unpleasantly harsh or grating in sound
things,any movable possession (especially articles of clothing)
compliments,(usually plural) a polite expression of desire for someone's welfare
thin,lose thickness; become thin or thinner
glasses,optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision
eye,the organ of sight
cat’s,unavailable
hair,a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss
single,a base hit on which the batter stops safely at first base
taken,carry out
splashed,"cause (a liquid) to spatter about, especially with force"
stirred,move an implement through
women,an adult female person (as opposed to a man)
glance,a quick look
figure,a diagram or picture illustrating textual material
demanded,request urgently and forcefully
ask,inquire about
minor,a young person of either sex
setback,an unfortunate happening that hinders or impedes; something that is thwarting or frustrating
polite,"showing regard for others in manners, speech, behavior, etc."
gently,in a gradual manner
chided,censure severely or angrily
smoothly,with no problems or difficulties
cleaned,"make clean by removing dirt, filth, or unwanted substances from"
plates,(baseball) base consisting of a rubber slab where the batter stands; it must be touched by a base runner in order to score
cursed,utter obscenities or profanities
entertained,provide entertainment for
stupid,a person who is not very bright
cream,the best people or things in a group
soft,yielding readily to pressure or weight
priest,a clergyman in Christian churches who has the authority to perform or administer various religious rites; one of the Holy Orders
confession,an admission of misdeeds or faults
whipped,beat severely with a whip or rod
shut,move so that an opening or passage is obstructed; make shut
sing,deliver by singing
fuss,an excited state of agitation
heads,the upper part of the human body or the front part of the body in animals; contains the face and brains
poked,poke or thrust abruptly
muttered,talk indistinctly; usually in a low voice
business,a commercial or industrial enterprise and the people who constitute it
publicity,a message issued in behalf of some product or cause or idea or person or institution
tops,the upper part of anything
peering,look searchingly
hero,a man distinguished by exceptional courage and nobility and strength
hope,a specific instance of feeling hopeful
mentioning,make reference to
missed,fail to perceive or to catch with the senses or the mind
feel,an intuitive awareness;  or
tease,someone given to teasing (as by mocking or stirring curiosity)
choirboys,a boy who sings in a choir
syllable,a unit of spoken language larger than a phoneme
breaking,the act of breaking something
sobs,a dyspneic condition
hysterical,characterized by or arising from psychoneurotic hysteria; - Morris Fishbein
notes,a brief written record
missing,fail to perceive or to catch with the senses or the mind
lucky,occurring by chance
couples,a pair who associate with one another
meat,the flesh of animals (including fishes and birds and snails) used as food
invited,increase the likelihood of
copy,a reproduction of a written record (e.g. of a legal or school record)
husband,a married man; a woman's partner in marriage
sniffed,perceive by inhaling through the nose
interrupted,make a break in
dear,a beloved person; used as terms of endearment
dishes,a piece of dishware normally used as a container for holding or serving food
plump,the sound of a sudden heavy fall
spill,liquid that is spilled
blond,a person with fair skin and hair
tablecloth,a covering spread over a dining table
necklace,jewelry consisting of a cord or chain (often bearing gems) worn about the neck as an ornament (especially by women)
automatically,in a reflex manner
ugly,displeasing to the senses
lace,a cord that is drawn through eyelets or around hooks in order to draw together two edges (as of a shoe or garment)
snob,a person regarded as arrogant and annoying
changing,cause to change; make different; cause a transformation
realized,be fully aware or cognizant of
susie,unavailable
cases,an occurrence of something
cursing,utter obscenities or profanities
listened,hear with intention
slept,be asleep
speeder,a driver who exceeds the safe speed limit
winning,succeeding with great difficulty
grade,a body of students who are taught together
prize,something given for victory or superiority in a contest or competition or for winning a lottery
roses,any of many shrubs of the genus Rosa that bear roses
potty,a plumbing fixture for defecation and urination
backed,be behind; approve of
bench,a long seat for more than one person
neighbor,a person who lives (or is located) near another
thanks,an acknowledgment of appreciation
eighth,position eight in a countable series of things
officer,any person in the armed services who holds a position of authority or command
sir,term of address for a man
curse,profane or obscene expression usually of surprise or anger
madam,a woman of refinement
unfortunately,by bad luck
planted,"put or set (seeds, seedlings, or plants) into the ground"
swearing,profane or obscene expression usually of surprise or anger
pushed,"move with force,"
lives,a characteristic state or mode of living
acting,the performance of a part or role in a drama
nicer,pleasant or pleasing or agreeable in nature or appearance; - George Meredith
meaner,approximating the statistical norm or average or expected value
teaching,the profession of a teacher
moving,"change location; move, travel, or proceed, also metaphorically"
disappeared,"get lost, as without warning or explanation"
frozen,stop moving or become immobilized
labeled,assign a label to; designate with a label
traffic,the aggregation of things (pedestrians or vehicles) coming and going in a particular locality during a specified period of time
enviously,with jealousy; in an envious manner
wish,a specific feeling of desire
mad,roused to anger; - Mark Twain
ones,the smallest whole number or a numeral representing this number
check,a written order directing a bank to pay money
wrote,produce a literary work
ordered,give instructions to or direct somebody to do something with authority
infection,the pathological state resulting from the invasion of the body by pathogenic microorganisms
temper,a sudden outburst of anger
irish,people of Ireland or of Irish extraction
jokes,a humorous anecdote or remark intended to provoke laughter
ticket,a commercial document showing that the holder is entitled to something (as to ride on public transportation or to enter a public entertainment)
speeding,changing location rapidly
received,get something; come into possession of
glared,look at with a fixed gaze
row,an arrangement of objects or people side by side in a line
apparently,from appearances alone; ; ; -Thomas Hardy
shushed,silence (someone) by uttering `shush!'
hours,a period of time assigned for work
judge,a public official authorized to decide questions brought before a court of justice
policeman,a member of a police force
daughter,a female human offspring
soldiers,an enlisted man or woman who serves in an army
doomed,people who are destined to die soon
honor,a tangible symbol signifying approval or distinction
hour,a period of time equal to 1/24th of a day
bout,(sports) a division during which one team is on the offensive
yeah,"not only so, but"
giggled,laugh nervously
laid,put into a certain place or abstract location
starched,stiffen with starch
dry,a reformer who opposes the use of intoxicating beverages
cleaner,a preparation used in cleaning something
hall,an interior passage or corridor onto which rooms open
tie,neckwear consisting of a long narrow piece of material worn (mostly by men) under a collar and tied in knot at the front
suit,a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color
carried,"move while supporting, either in a vehicle or in one's hands or on one's body"
wore,be dressed in
foreman,a person who exercises control over workers
raisin,dried grape
wrinkled,gather or contract into wrinkles or folds; pucker
littlest,limited or below average in number or quantity or magnitude or extent
cute,attractive especially by means of smallness or prettiness or quaintness
filling,any material that fills a space or container
mealy,containing meal or made of meal
approach,ideas or actions intended to deal with a problem or situation
pocket,a small pouch inside a garment for carrying small articles
crook,someone who has committed a crime or has been legally convicted of a crime
vein,a blood vessel that carries blood from the capillaries toward the heart
popping,a sharp explosive sound as from a gunshot or drawing a cork
forehead,the part of the face above the eyes
carrying,"move while supporting, either in a vehicle or in one's hands or on one's body"
throwing,propel through the air
balanced,bring into balance or equilibrium
older,advanced in years; (`aged' is pronounced as two syllables)
bathroom,a room (as in a residence) containing a bathtub or shower and usually a washbasin and toilet
birthday,an anniversary of the day on which a person was born (or the celebration of it)
braids,a hairdo formed by braiding or twisting the hair
ahead,having the leading position or higher score in a contest
thirteen,the cardinal number that is the sum of twelve and one
respond,show a response or a reaction to something
shared,have in common
tense,a grammatical category of verbs used to express distinctions of time
silent,marked by absence of sound
sprinkled,distribute loosely
carpet,floor covering consisting of a piece of thick heavy fabric (usually with nap or pile)
fibers,a slender and greatly elongated substance capable of being spun into yarn
crying,the process of shedding tears (usually accompanied by sobs or other inarticulate sounds)
picking,the quantity of a crop that is harvested
gruffly,in a gruff manner
delievered,unavailable
solved,find the solution to (a problem or question) or understand the meaning of
problems,a state of difficulty that needs to be resolved
sentences,a string of words satisfying the grammatical rules of a language
nurse,one skilled in caring for young children or the sick (usually under the supervision of a physician)
thirty,the cardinal number that is the product of ten and three
woods,the trees and other plants in a large densely wooded area
music,an artistic form of auditory communication incorporating instrumental or vocal tones in a structured and continuous manner
pink,a light shade of red
remarked,make mention of
trusted,have confidence or faith in
means,how a result is obtained or an end is achieved
bee,any of numerous hairy-bodied insects including social and solitary species
sah,unavailable
mo,an indefinitely short time
ke,unavailable
argue,present reasons and arguments
yawned,"utter a yawn, as from lack of oxygen or when one is tired"
unpredictable,not capable of being foretold
program,a series of steps to be carried out or goals to be accomplished
happened,come to pass
low,an air mass of lower pressure; often brings precipitation
stool,a simple seat without a back or arms
tub,a relatively large open container that you fill with water and use to wash the body
grin,a facial expression characterized by turning up the corners of the mouth; usually shows pleasure or amusement
wiped,rub with a circular motion
towel,a rectangular piece of absorbent cloth (or paper) for drying or wiping
flowered,produce or yield flowers
apron,a garment of cloth or leather or plastic that is tied about the waist and worn to protect your clothing
bun,small rounded bread either plain or sweet
escaped,run away from confinement
lots,a large number or amount
bedroom,a room used primarily for sleeping
sleeping,the state of being asleep
young,any immature animal
picture,a visual representation (of an object or scene or person or abstraction) produced on a surface
boy,a youthful male person
frame,the framework for a pair of eyeglasses
family,a social unit living together
throat,the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone
cleared,rid of obstructions
bitter,English term for a dry sharp-tasting ale with strong flavor of hops (usually on draft)
curled,"form a curl, curve, or kink"
trouble,a source of difficulty
throw,the act of throwing (propelling something with a rapid movement of the arm and wrist)
piped,utter a shrill cry
whipping,beating with a whip or strap or rope as a form of punishment
concentrate,the desired mineral that is left after impurities have been removed from mined ore
normal,something regarded as a normative example
language,a systematic means of communicating by the use of sounds or conventional symbols
radio,medium for communication
eldest,the offspring who came first in the order of birth
foreign,of concern to or concerning the affairs of other nations (other than your own)
ballad,a narrative song with a recurrent refrain
hurt,any physical damage to the body caused by violence or accident or fracture etc.
telling,an act of narration
late,being or occurring at an advanced period of time or after a usual or expected time
rinsed,wash off soap or remaining dirt
fussing,worry unnecessarily or excessively
upset,an unhappy and worried mental state
book,a written work or composition that has been published (printed on pages bound together)
singing,the act of singing vocal music
sell,the activity of persuading someone to buy
huddled,crowd or draw together
tensely,in a tense manner
backseat,a secondary or inferior position or status
kindness,the quality of being warmhearted and considerate and humane and sympathetic
doughnut,a toroidal shape
lose,"fail to keep or to maintain; cease to have, either physically or in an abstract sense"
bills,a statute in draft before it becomes law
 ,unavailable
sprang,move forward by leaps and bounds
leaves,the main organ of photosynthesis and transpiration in higher plants
suspect,someone who is under suspicion
investigate,investigate scientifically
yelled,utter a sudden loud cry
fussed,worry unnecessarily or excessively
nap,a period of time spent sleeping
apology,an expression of regret at having caused trouble for someone
seven,the cardinal number that is the sum of six and one
dressed,put on clothes
days,the time during which someone's life continues
lost,people who are destined to die soon
snapped,"utter in an angry, sharp, or abrupt tone"
plastic,generic name for certain synthetic or semisynthetic materials that can be molded or extruded into objects or films or filaments or used for making e.g. coatings and adhesives
tarp,waterproofed canvas
flames,the process of combustion of inflammable materials producing heat and light and (often) smoke
licked,beat thoroughly and conclusively in a competition or fight
report,a written document describing the findings of some individual or group
arguments,a fact or assertion offered as evidence that something is true
incident,a single distinct event
busy,keep busy with
finished,come or bring to a finish or an end
flatly,in an unqualified manner
jobs,the principal activity in your life that you do to earn money
apart,remote and separate physically or socially; ; - W.H.Hudson
fishing,the act of someone who fishes as a diversion
skip,a gait in which steps and hops alternate
suggested,"make a proposal, declare a plan for something"
fried,be excessively hot
eaten,take in solid food
pan,cooking utensil consisting of a wide metal vessel
frying,cooking in fat or oil in a pan or griddle
iron,a heavy ductile magnetic metallic element; is silver-white in pure form but readily rusts; used in construction and tools and armament; plays a role in the transport of oxygen by the blood
cast,the actors in a play
crib,baby bed with high sides made of slats
pulling,the act of pulling; applying force to move something toward or with you
ring,a characteristic sound
building,a structure that has a roof and walls and stands more or less permanently in one place
prepared,"make ready or suitable or equip in advance for a particular purpose or for some use, event, etc"
stones,a lump or mass of hard consolidated mineral matter
winter,the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox
lieutenant,a commissioned military officer
mistake,a wrong action attributable to bad judgment or ignorance or inattention
cowboys,a hired hand who tends cattle and performs other duties on horseback
spoke,support consisting of a radial member of a wheel joining the hub to the rim
wind,air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure
parked,place temporarily
road,an open way (generally public) for travel or transportation
narrow,a narrow strait connecting two bodies of water
shaded,cast a shadow over
varnished-,unavailable
casting,object formed by a mold
rod,a long thin implement made of metal or wood
cigar,a roll of tobacco for smoking
grip,the act of grasping
spinning,creating thread
reel,a roll of photographic film holding a series of frames to be projected by a movie projector
lures,qualities that attract by seeming to promise some kind of reward
fishermen,someone whose occupation is catching fish
cane,a stick that people can lean on to help them walk
worried,"be worried, concerned, anxious, troubled, or uneasy"
provoke,"call forth (emotions, feelings, and responses)"
talked,exchange thoughts; talk with
sternly,with sternness; in a severe manner
break,some abrupt occurrence that interrupts an ongoing activity
electric,a car that is powered by electricity
doctor,a licensed medical practitioner
result,a phenomenon that follows and is caused by some previous phenomenon
reinstated,restore to the previous state or rank
direct,command with authority
monkey,any of various long-tailed primates (excluding the prosimians)
funny,an account of an amusing incident (usually with a punch line)
fumed,"be mad, angry, or furious"
boss,a person who exercises control over workers
recess,a state of abeyance or suspended business
intoned,utter monotonously and repetitively and rhythmically
seriously,in a serious manner
graders,a judge who assigns grades to something
coast,the shore of a sea or ocean
teasing,the act of harassing someone playfully or maliciously (especially by ridicule); provoking someone with persistent annoyances
tv,broadcasting visual images of stationary or moving objects; ;  - Ernie Kovacs
rigid,incapable of or resistant to bending
wrong,that which is contrary to the principles of justice or law
sardine,small fatty fish usually canned
swallowed,pass through the esophagus as part of eating or drinking
green,green color or pigment; resembling the color of growing grass
sick,people who are sick
pantomimed,act out without words but with gestures and bodily movements only
drawing,"an illustration that is drawn by hand and published in a book, magazine, or newspaper"
line,a formation of people or things one beside another
sewing,joining or attaching by stitches
button,a round fastener sewn to shirts and coats etc to fit through buttonholes
shirts,a garment worn on the upper half of the body
badly,to a severe or serious degree
risk,a source of danger; a possibility of incurring loss or misfortune
asking,the verbal act of requesting
freckle,a small brownish spot (of the pigment melanin) on the skin
sniffled,cry or whine with snuffling
clean,a weightlift in which the barbell is lifted to shoulder height and then jerked overhead
galloping,ride at a galloping pace
pounding,repeated heavy blows
bus,a vehicle carrying many passengers; used for public transport
teased,annoy persistently
practically,almost; nearly
scalped,"sell illegally, as on the black market"
loud,characterized by or producing sound of great volume or intensity
screaming,sharp piercing cry
homework,preparatory school work done outside school (especially at home)
tree,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
elm,any of various trees of the genus Ulmus: important timber or shade trees
uncertain,lacking or indicating lack of confidence or assurance
different,unlike in nature or quality or form or degree
mimeographed,print copies from (a prepared stencil) using a mimeograph
weekly,a periodical that is published every week (or 52 issues per year)
nights,the time after sunset and before sunrise while it is dark outside
bulletin,a brief report (especially an official statement issued for immediate publication or broadcast)
ago,gone by; or in the past
ran,"move fast by using one's feet, with one foot off the ground at any given time"
banana,any of several tropical and subtropical treelike herbs of the genus Musa having a terminal crown of large entire leaves and usually bearing hanging clusters of elongated fruits
indignation,a feeling of righteous anger
gasped,"breathe noisily, as when one is exhausted"
pouted,be in a huff and display one's displeasure
clip,a metal frame or container holding cartridges; can be inserted into an automatic gun
palms,the inner surface of the hand from the wrist to the base of the fingers
pant,the noise made by a short puff of steam (as from an engine)
stains,a soiled or discolored appearance
sweat,salty fluid secreted by sweat glands
actually,in actual fact
scowling,frown with displeasure
fair,a traveling show; having sideshows and rides and games of skill etc.
sliding,"move obliquely or sideways, usually in an uncontrolled manner"
newsman,a person who investigates and reports or edits news stories
famous,widely known and esteemed
investigated,investigate scientifically
fall,the season when the leaves fall from the trees
asleep,in a state of sleep
repeating,the act of doing or performing again
wished,hope for; have a wish
stale,"urinate, of cattle and horses"
shield,a protective covering or structure
difference,the quality of being unlike or dissimilar
boards,the stage of a theater
apologize,acknowledge faults or shortcomings or failing
uh,unavailable
special,a special offering (usually temporary and at a reduced price) that is featured in advertising
guessed,"expect, believe, or suppose"
fix,informal terms for a difficult situation
garage,an outbuilding (or part of a building) for housing automobiles
cutting,the activity of selecting the scenes to be shown and putting them together to create a film
sanding,rub with sandpaper
unlike,marked by dissimilarity
putting,hitting a golf ball that is on the green using a putter
organized,create (as an entity)
tools,an implement used in the practice of a vocation
arrested,take into custody
knowing,a clear and certain mental apprehension
tired,lose interest or become bored with something or somebody
wild,a wild primitive state untouched by civilization
comics,a sequence of drawings telling a story in a newspaper or comic book
heavily,to a considerable degree
photo,a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material
framed,enclose in or as if in a frame
bookshelves,a shelf on which to keep books
build,constitution of the human body
practiced,carry out or practice; as of jobs and professions
wiping,rub with a circular motion
slipped,move stealthily
