Word,Definition
dreaming,imaginative thoughts indulged in while awake
warmer,device that heats water or supplies warmth to a room
likely,has a good chance of being the case or of coming about
game,a contest with rules to determine a winner
sleeps,a natural and periodic state of rest during which consciousness of the world is suspended
simply,and nothing more
wishing,a specific feeling of desire
wiggled,move to and fro
shrugged,raise one's shoulders to indicate indifference or resignation
stumble,an unsteady uneven gait
reopen,open again or anew
bleachers,an outdoor grandstand without a roof; patrons are exposed to the sun as linens are when they are bleached
reads,something that is read
uppity,presumptuously arrogant; ; - S.V.Benet; - NY Times
pay,something that remunerates
folks,your parents
ringing,the sound of a bell ringing; ; ; --E. A. Poe
locked,fasten with a lock
great,a person who has achieved distinction and honor in some field
unpacking,remove from its packing
quarter,one of four equal parts
gray,a neutral achromatic color midway between white and black
uncle,the brother of your father or mother; the husband of your aunt
intercepted,seize on its way
relief,the feeling that comes when something burdensome is removed or reduced
else’ll,unavailable
beating,the act of overcoming or outdoing
hellos,an expression of greeting
boyfriend,a man who is the lover of a girl or young woman
miserable,very unhappy; full of misery
smart,a kind of pain such as that caused by a wound or a burn or a sore
sounds,the particular auditory effect produced by a given cause
tousled,disarrange or rumple; dishevel
brow,the part of the face above the eyes
wiping,rub with a circular motion
laughing,produce laughter
loved,have a great affection or liking for
jacket,a short coat
draped,arrange in a particular way
shoulders,the part of the body between the neck and the upper arm
flyers,an advertisement (usually printed on a page or in a leaflet) intended for wide distribution
responding,show a response or a reaction to something
meadow,a field where grass or alfalfa are grown to be made into hay
stamped,walk heavily
baked,cook and make edible by putting in a hot oven
wow,a joke that seems extremely funny
tumbling,the gymnastic moves of an acrobat
policy,a plan of action adopted by an individual or social group
extra,a minor actor in crowd scenes
special,a special offering (usually temporary and at a reduced price) that is featured in advertising
triple,a base hit at which the batter stops safely at third base
layer,single thickness of usually some homogeneous substance
chocolate,a beverage made from cocoa powder and milk and sugar; usually drunk hot
making,the act that results in something coming to be
cake,a block of solid substance (such as soap or wax)
wind,air moving (sometimes with considerable force) from an area of high pressure to an area of low pressure
throne,"the chair of state for a monarch, bishop, etc."
opportunities,a possibility due to a favorable combination of circumstances
graduated,receive an academic degree upon completion of one's studies
float,the time interval between the deposit of a check in a bank and its payment
children,a young person of either sex
minnijean,unavailable
suffered,undergo or be subjected to
parade,a ceremonial procession including people marching
disguise,an outward semblance that misrepresents the true nature of something
wear,impairment resulting from long use
courses,education imparted in a series of lessons or meetings
vote,a choice that is made by counting the number of people in favor of each alternative
scribbling,write down quickly without much attention to detail
wrote,produce a literary work
betraying,reveal unintentionally
attend,"be present at (meetings, church services, university), etc."
newspaper,a daily or weekly publication on folded sheets; contains news and articles and advertisements
owned,have ownership or possession of
pages,one side of one leaf (of a book or magazine or newspaper or letter etc.) or the written or pictorial matter it contains
yesterday,the day immediately before today
stone,a lump or mass of hard consolidated mineral matter
bunch,a grouping of a number of similar things
ride,a journey in a vehicle (usually an automobile)
v.,unavailable
lawsuit,a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy
issue,an important question that is in dispute and must be settled
theme,the subject matter of a conversation or discussion
hinder,be a hindrance or obstacle to
kingdom,a domain in which something is dominant
community,a group of people living in a particular local area
complicated,make more complicated
learned,gain knowledge or skills
activist,a militant reformer
belongs,be owned by; be in the possession of
mayor,the head of a city government
break,some abrupt occurrence that interrupts an ongoing activity
example,an item of information that is typical of a class or group
winner,the contestant who wins the contest
built,make by combining materials and parts
churches,one of the groups of Christians who have their own beliefs and forms of worship
guessed,"expect, believe, or suppose"
prematurely,(of childbirth) before the end of the normal period of gestation
blankly,without expression; in a blank manner
sincere,open and genuine; not deceitful
bank,sloping land (especially the slope beside a body of water)
piggy,a young pig
bet,the money risked on a gamble
highness,(Your Highness or His Highness or Her Highness) title used to address a royal person
chalk,a soft whitish calcite
dust,fine powdery material such as dry earth or pollen that can be blown about in the air
slapped,"hit with something flat, like a paddle or the open hand"
complete,come or bring to a finish or an end
promise,a verbal commitment by one person to another agreeing to do (or not to do) something in the future
mildly,to a moderate degree
sentence,a string of words satisfying the grammatical rules of a language
blurry,indistinct or hazy in outline
squinted,cross one's eyes as if in strabismus
makes,a recognizable kind
tucked,fit snugly into
paper,a material made of cellulose pulp derived mainly from wood or rags or certain grasses
bite,a wound resulting from biting by an animal or a person
pleased,give pleasure to or be pleasing to
counting,the act of counting; reciting numbers in ascending order
period,an amount of time
suit,a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color
elementary,easy and not involved or complicated
bowls,a bowling game played on a level lawn with biased wooden balls that are rolled at a jack
reign,a period during which something or somebody is dominant or powerful
trimmed,remove the edges from and cut down to the desired size
neatly,with neatness
pretend,the enactment of a pretense
pointing,"indicate a place, direction, person, or thing; either spatially or figuratively"
tittered,laugh nervously
prefer,like better; value more highly
o,a nonmetallic bivalent element that is normally a colorless odorless tasteless nonflammable diatomic gas; constitutes 21 percent of the atmosphere by volume; the most abundant element in the earth's crust
royal,a sail set next above the topgallant on a royal mast
gulp,a large and hurried swallow
giggle,a foolish or nervous laugh
driving,hitting a golf ball off of a tee with a driver
hovered,be undecided about something; waver between conflicting positions or courses of action
ribbon,any long object resembling a thin line
tied,"fasten or secure with a rope, string, or cord"
dark,absence of light or illumination
tan,a browning of the skin resulting from exposure to the rays of the sun
lovely,a very pretty girl who works as a photographer's model
chewing,biting and grinding food in your mouth so it becomes soft enough to swallow
fingernails,the nail at the end of a finger
mob,a disorderly crowd of people
surrounded,extend on all sides of simultaneously; encircle
cursed,utter obscenities or profanities
eat,take in solid food
breakfast,the first meal of the day (usually in the morning)
punch,(boxing) a blow with the fist
fruit,the ripened reproductive body of a seed plant
weak,wanting in physical strength
unlike,marked by dissimilarity
surely,definitely or positively (`sure' is sometimes used informally for `surely')
science,a particular branch of scientific knowledge
screaming,sharp piercing cry
humor,a message whose ingenuity or verbal skill or incongruity has the power to evoke laughter
building,a structure that has a roof and walls and stands more or less permanently in one place
student,a learner who is enrolled in an educational institution
track,a line or route along which something travels or moves
bored,cause to be bored
chalkboard,sheet of slate; for writing with chalk
malt,a milkshake made with malt powder
shake,building material used as siding or roofing
writing,the act of creating written works
deadlocked,at a complete standstill because of opposition of two unrelenting forces or factions
crowded,"cause to herd, drive, or crowd together"
pile,a collection of objects laid on top of each other
spin,a swift whirling motion (usually of a missile)
climbed,go upward with gradual or continuous progress
route,an established line of travel or access
warned,"notify of danger, potential harm, or risk"
threatening,pose a threat to; present a danger to
clapping,a demonstration of approval by clapping the hands together
shut,move so that an opening or passage is obstructed; make shut
impressive,making a strong or vivid impression
segregationists,someone who believes the races should be kept apart
humming,a humming noise
fake,something that is a counterfeit; not what it seems to be
beard,the hair growing on the lower part of a man's face
robe,any loose flowing garment
selected,"pick out, select, or choose from a number of alternatives"
segregationist,someone who believes the races should be kept apart
complained,"express complaints, discontent, displeasure, or unhappiness"
neighbor,a person who lives (or is located) near another
ho,a trivalent metallic element of the rare earth group; occurs together with yttrium; forms highly magnetic compounds
ended,"have an end, in a temporal, spatial, or quantitative sense; either spatial or metaphorical"
moderate,a person who takes a position in the political center
elected,select by a vote for an office or membership
reminding,put in the mind of someone
heartedly,unavailable
kicked,drive or propel with the foot
announced,make known; make an announcement
aloud,using the voice; not silently
thanks,an acknowledgment of appreciation
sir,term of address for a man
stars,(astronomy) a celestial body of hot gases that radiates energy derived from thermonuclear reactions in the interior
expensive,high in price or charging high prices
airplane,an aircraft that has a fixed wing and is powered by propellers or jets
present,the period of time that is happening now; any continuous stretch of time including the moment of speech
moon,the natural satellite of the Earth
gazed,look at with fixed eyes
pine,a coniferous tree
stockings,close-fitting hosiery to cover the foot and leg; come in matched pairs (usually used in the plural)
cranberries,any of numerous shrubs of genus Vaccinium bearing cranberries
balls,round object that is hit or thrown or kicked in games
strung,thread on or as if on a string
automobile,a motor vehicle with four wheels; usually propelled by an internal combustion engine
branches,a division of some larger or more complex organization
weatherman,predicts the weather
scraps,food that is discarded (as from a kitchen)
boxes,a (usually rectangular) container; may have a lid
firmly,with resolute determination
bird,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
nah,unavailable
miracles,any amazing or wonderful occurrence
corners,a place off to the side of an area
searching,"try to locate or discover, or try to establish the existence of"
socks,hosiery consisting of a cloth covering for the foot; worn inside the shoe; reaches to between the ankle and the knee
cashmere,a soft fabric made from the wool of the Cashmere goat
beds,a piece of furniture that provides a place to sleep
modern,a contemporary person
positioned,"cause to be in an appropriate place, state, or relation"
unwrapped,remove the outer cover or wrapping of
album,one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc
copy,a reproduction of a written record (e.g. of a legal or school record)
twin,either of two offspring born at the same time from the same pregnancy
flight,a formation of aircraft in flight
ornament,something used to beautify
chains,metal shackles; for hands or legs
awake,stop sleeping
shaking,the act of causing something to move up and down (or back and forth) with quick movements
pillow,a cushion to support the head of a sleeping person
point,a geometric element that has position but no extension
respond,show a response or a reaction to something
player,a person who participates in or is skilled at some game
false,not in accordance with the fact or reality or actuality
radar,measuring instrument in which the echo of a pulse of microwave radiation is used to detect and locate distant objects
twinkle,a rapid change in brightness; a brief spark or flash
eye,the organ of sight
chestnuts,wood of any of various chestnut trees of the genus Castanea
o’clock,unavailable
roasted,"cook with dry heat, usually in an oven"
bowl,a round vessel that is open at the top; used chiefly for holding food or liquids
exciting,arouse or elicit a feeling
tail,the posterior part of the body of a vertebrate especially when elongated and extending beyond the trunk or main part of the body
taped,fasten or attach with tape
carved,form by carving
drive,the act of applying force to propel something
goofy,a cartoon character created by Walt Disney
wooden,made or consisting of (entirely or in part) or employing wood
somebody,a human being
unfolded,develop or come to a promising stage
entitles,give the right to
record,anything (such as a document or a phonograph record or a photograph) providing permanent evidence of or information about past events
use,the act of using
threatened,pose a threat to; present a danger to
charging,"to make a rush at or sudden attack upon, as in battle"
nickel,a hard malleable ductile silvery metallic element that is resistant to corrosion; used in alloys; occurs in pentlandite and smaltite and garnierite and millerite
plane,an aircraft that has a fixed wing and is powered by propellers or jets
uniform,clothing of distinctive design worn by members of a particular group as a means of identification
clouds,"any collection of particles (e.g., smoke or dust) or gases that is visible"
rounded,wind around; move along a circular course
men,the force of workers available
fair,a traveling show; having sideshows and rides and games of skill etc.
hang,a special way of doing something
painted,make a painting
chance,a possibility due to a favorable combination of circumstances
hundreds,ten 10s
buttons,a round fastener sewn to shirts and coats etc to fit through buttonholes
detail,an isolated fact that is considered separately from the whole
wires,ligament made of metal and used to fasten things or make cages or fences etc
doors,a swinging or sliding barrier that will close the entrance to a room or building or vehicle
pale,a wooden strip forming part of a fence
directly,without deviation
cockpit,compartment where the pilot sits while flying the aircraft
safe,strongbox where valuables can be safely kept
larger,large or big relative to something else
wished,hope for; have a wish
grow,"pass into a condition gradually, take on a specific property or attribute; become"
houses,a dwelling that serves as living quarters for one or more families
roads,a partly sheltered anchorage
trees,a tall perennial woody plant having a main trunk and branches forming a distinct elevated crown; includes both gymnosperms and angiosperms
caramel,firm chewy candy made from caramelized sugar and butter and milk
silly,a word used for misbehaving children
airport,an airfield equipped with control tower and hangars as well as accommodations for passengers and cargo
unable,(usually followed by `to') not having the necessary means or skill or know-how
stewardess,a woman steward on an airplane
invention,the creation of something in the mind
willed,decree or ordain
loud,characterized by or producing sound of great volume or intensity
nails,horny plate covering and protecting part of the dorsal surface of the digits
smell,the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form
possibility,a future prospect or potential
blink,a reflex that closes and opens the eyes rapidly
refusing,show unwillingness towards
grown,"pass into a condition gradually, take on a specific property or attribute; become"
coffee,a beverage consisting of an infusion of ground coffee beans
coke,carbon fuel produced by distillation of coal
dry,a reformer who opposes the use of intoxicating beverages
grew,"pass into a condition gradually, take on a specific property or attribute; become"
area,a particular geographical region of indefinite boundary (usually serving some special purpose or distinguished by its people or culture or geography)
younger,used of the younger of two persons of the same name especially used to distinguish a son from his father
forth,a river in southern Scotland that flows eastward to the Firth of Forth
rocking,move back and forth or sideways
higher,advanced in complexity or elaboration
treats,something considered choice to eat
tables,a set of data arranged in rows and columns
build,constitution of the human body
rockets,any vehicle self-propelled by a rocket engine
tongue,a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity
shouted,utter in a loud voice; talk in a loud voice (usually denoting characteristic manner of speaking)
ear,the sense organ for hearing and equilibrium
metal,any of several chemical elements that are usually shiny solids that conduct heat or electricity and can be formed into sheets etc.
tube,conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases
nicer,pleasant or pleasing or agreeable in nature or appearance; - George Meredith
selling,the exchange of goods for an agreed sum of money
cart,a heavy open wagon usually having two wheels and drawn by an animal
knot,a tight cluster of people or things
amen,a primeval Egyptian personification of air and breath; worshipped especially at Thebes
skin,a natural protective body covering and site of the sense of touch
crawl,a very slow movement
itchy,nervous and unable to relax
lunchtime,the customary or habitual hour for eating lunch
assignments,a duty that you are assigned to perform (especially in the armed forces)
far,a terrorist organization that seeks to overthrow the government dominated by Tutsi and to institute Hutu control again
missing,fail to perceive or to catch with the senses or the mind
curious,beyond or deviating from the usual or expected
blushed,"turn red, as if in embarrassment or shame"
louder,characterized by or producing sound of great volume or intensity
shriller,having or emitting a high-pitched and sharp tone or tones
insults,a rude expression intended to offend or hurt
chirped,make high-pitched sounds
apologized,acknowledge faults or shortcomings or failing
rolled,move by turning over or rotating
volunteered,tell voluntarily
intended,have in mind as a purpose
dumped,throw away as refuse
"course—6,049",unavailable
divided,separate into parts or portions
winter,the coldest season of the year; in the northern hemisphere it extends from the winter solstice to the vernal equinox
engineers,a person who uses scientific knowledge to solve practical problems
journal,a daily written record of (usually personal) experiences and observations
cuter,attractive especially by means of smallness or prettiness or quaintness
opener,the first event in a series
spots,spots before the eyes caused by opaque cell fragments in the vitreous humor and lens
body,"the entire structure of an organism (an animal, plant, or human being)"
experiment,the act of conducting a controlled test or investigation
figure,a diagram or picture illustrating textual material
dragged,"pull, as against a resistance"
stuff,the tangible substance that goes into the makeup of a physical object
project,any piece of work that is undertaken or attempted
sis,a female person who has the same parents as another person
drags,the phenomenon of resistance to motion through a fluid
lie,a statement that deviates from or perverts the truth
crash,a loud resonant repeating noise
a.k.a,unavailable
underneath,on the lower or downward side; on the underside of
lollipop,ice cream or water ice on a small wooden stick
stealing,the act of taking something from someone unlawfully
crashes,a loud resonant repeating noise
fever,a rise in the temperature of the body; frequently a symptom of infection
flying,an instance of traveling by air
dreamed,have a daydream; indulge in a fantasy
postcards,a card for sending messages by post without an envelope
engraved,"carve, cut, or etch into a material or surface"
letters,the literary culture
slipped,move stealthily
named,assign a specified (usually proper) proper name to
anymore,at the present or from now on; usually used with a negative
radio,medium for communication
divide,a serious disagreement between two groups of people (typically producing tension or hostility)
born,British nuclear physicist (born in Germany) honored for his contributions to quantum mechanics (1882-1970)
thirteenth,position 13 in a countable series of things
doctor,a licensed medical practitioner
brought,take something or somebody with oneself somewhere
birthday,an anniversary of the day on which a person was born (or the celebration of it)
gums,a preparation (usually made of sweetened chicle) for chewing
crept,move slowly; in the case of people or animals with the body near the ground
lower,the lower of two berths
lip,either of two fleshy folds of tissue that surround the mouth and play a role in speaking
thirsty,needing moisture
party,an organization to gain political power
blade,especially a leaf of grass or the broad portion of a leaf as distinct from the petiole
ordered,give instructions to or direct somebody to do something with authority
satchel,luggage consisting of a small case with a flat bottom and (usually) a shoulder strap
card,one of a set of small pieces of stiff paper marked in various ways and used for playing games or for telling fortunes
gasp,a short labored intake of breath with the mouth open
escaping,run away from confinement
curls,a round shape formed by a series of concentric circles (as formed by leaves or flower petals)
scarf,a garment worn around the head or neck or shoulders for warmth or decoration
discussing,to consider or examine in speech or writing
flavors,the general atmosphere of a place or situation and the effect that it has on people
fill,a quantity sufficient to satisfy
tutor,"a person who gives private instruction (as in singing, acting, etc.)"
embarrassing,cause to be embarrassed; cause to feel self-conscious
bathrobe,a loose-fitting robe of towelling; worn after a bath or swim
gown,"a woman's dress, usually with a close-fitting bodice and a long flared skirt, often worn on formal occasions"
ball,round object that is hit or thrown or kicked in games
silk,a fabric made from the fine threads produced by certain insect larvae
huddled,crowd or draw together
wicker,slender flexible branches or twigs (especially of willow or some canes); used for wickerwork
delicate,exquisitely fine and subtle and pleasing; susceptible to injury
rink,building that contains a surface for ice skating or roller skating
roller,a grounder that rolls along the infield
comic,a professional performer who tells jokes and performs comical acts
dresses,a one-piece garment for a woman; has skirt and bodice
golden,having the deep slightly brownish color of gold
color,a visual attribute of things that results from the light they emit or transmit or reflect
subbing,working as a substitute for someone who is ill or on leave of absence
legs,staying power
sharpener,any implement that is used to make something (an edge or a point) sharper
cheating,a deception for profit to yourself
whistling,the sound made by something moving rapidly or by steam coming out of a small aperture
entire,uncastrated adult male horse
tray,an open receptacle for holding or displaying or serving articles or food
lemonade,sweetened beverage of diluted lemon juice
chatted,talk socially without exchanging too much information
quieter,characterized by an absence or near absence of agitation or activity
hold,the act of grasping
flipping,lightly throw to see which side comes up
backseat,a secondary or inferior position or status
pressing,the act of pressing; the exertion of pressure
swell,the undulating movement of the surface of the open sea
excited,arouse or elicit a feeling
library,a room where books are kept
mind,that which is responsible for one's thoughts and feelings; the seat of the faculty of reason
inviting,increase the likelihood of
million,the number that is represented as a one followed by 6 zeros
sits,be seated
skinny,confidential information about a topic or person
decorations,something used to beautify
upcoming,of the relatively near future
creek,a natural stream of water smaller than a river (and often a tributary of a river)
wading,walking with your feet in shallow water
picking,the quantity of a crop that is harvested
forest,the trees and other plants in a large densely wooded area
scoop,the quantity a scoop will hold
oak,the hard durable wood of any oak; used especially for furniture and flooring
bunches,United States diplomat and United Nations official (1904-1971)
acorns,fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base
clinging,come or be in close contact with; stick or hold together and resist separation
sun,the star that is the source of light and heat for the planets in the solar system
gold,coins made of gold
climb,an upward slope or grade (as in a road)
ugh,unavailable
pointed,"indicate a place, direction, person, or thing; either spatially or figuratively"
toes,one of the digits of the foot
freezing,the withdrawal of heat to change something from a liquid to a solid
leaning,an inclination to do something
sky,the atmosphere and outer space as viewed from the earth
hey,unavailable
reach,the limits within which something can be effective
branch,a division of some larger or more complex organization
bigger,large or big relative to something else
inches,a unit of length equal to one twelfth of a foot
crawdad,tiny lobster-like crustaceans usually boiled briefly
heights,a high place
tin,a silvery malleable metallic element that resists corrosion; used in many alloys and to coat other metals to prevent corrosion; obtained chiefly from cassiterite where it occurs as tin oxide
heavy,an actor who plays villainous roles
flip,an acrobatic feat in which the feet roll over the head (either forward or backward) and return
doubtful,open to doubt or suspicion; ; ; ; - Karen Horney
stick,an implement consisting of a length of wood
breathe,"draw air into, and expel out of, the lungs"
bent,a relatively permanent inclination to react in a particular way
scooped,take out or up with or as if with a scoop
jerk,a dull stupid fatuous person
hills,a local and well-defined elevation of the land
rolling,a deep prolonged sound (as of thunder or large bells)
direction,a line leading to a place or point
peeking,throw a glance at; take a brief look at
pincher,unavailable
paintbrush,a brush used as an applicator (to apply paint)
jonquils,widely cultivated ornamental plant native to southern Europe but naturalized elsewhere having fragrant yellow or white clustered flowers
crocuses,any of numerous low-growing plants of the genus Crocus having slender grasslike leaves and white or yellow or purple flowers; native chiefly to the Mediterranean region but widely cultivated
wild,a wild primitive state untouched by civilization
field,a piece of land cleared of trees and usually enclosed
warm,get warm or warmer
skating,the sport of gliding on skates
stones,a lump or mass of hard consolidated mineral matter
crevice,a long narrow depression in a surface
complexion,the coloring of a person's face
learn,gain knowledge or skills
sputtered,make an explosive sound
raining,precipitate as rain
pull,the act of pulling; applying force to move something toward or with you
store,a mercantile establishment for the retail sale of goods or services
sniffed,perceive by inhaling through the nose
skate,sports equipment that is worn on the feet to enable the wearer to glide along and to be propelled by the alternate actions of the legs
lime,a caustic substance produced by heating limestone
growing,(biology) the process of an individual organism growing organically; a purely biological unfolding of events involved in an organism changing gradually from a simple to a more complex level
waltz,an assured victory (especially in an election)
switched,"change over, change around, as to a new order or sequence"
organist,a person who plays an organ
lights,(physics) electromagnetic radiation that can produce a visual sensation
leather,an animal skin made smooth and flexible by removing the hair and then tanning
skates,sports equipment that is worn on the feet to enable the wearer to glide along and to be propelled by the alternate actions of the legs
smarter,showing mental alertness and calculation and resourcefulness
dimmed,switch (a car's headlights) from a higher to a lower beam
gripped,hold fast or firmly
waltzed,dance a waltz
bouquet,an arrangement of flowers that is usually given as a present
skated,move along on skates
rose,any of many shrubs of the genus Rosa that bear roses
organ,a fully differentiated structural and functional unit in an animal that is specialized for some particular function
sang,North American woodland herb similar to and used as substitute for the Chinese ginseng
candles,stick of wax with a wick in the middle
victory,a successful ending of a struggle or contest
lap,the upper side of the thighs of a seated person
runner,someone who imports or exports without paying duties
thrown,propel through the air
calm,steadiness of mind under stress
buy,an advantageous purchase
dress,a one-piece garment for a woman; has skirt and bodice
diagonals,(geometry) a straight line connecting any two vertices of a polygon that are not adjacent
frothy,emitting or filled with bubbles as from carbonation or fermentation
cotton,soft silky fibers from cotton plants in their raw state
pair,a set of two similar things considered as a unit
rent,"a payment or series of payments made by the lessee to an owner for use of some property, facility, equipment, or service"
dated,go on a date with
adding,"make an addition (to); join or combine or unite with others; increase the quality, quantity, size or scope of"
maximum,the largest possible quantity
presents,the period of time that is happening now; any continuous stretch of time including the moment of speech
lecture,a speech that is open to the public
comes,the thick white fluid containing spermatozoa that is ejaculated by the male genital tract
brushes,a dense growth of bushes
protractor,drafting instrument used to draw or measure angles
pencils,a thin cylindrical pointed writing implement; a rod of marking substance encased in wood
graph,a visual representation of the relations between certain quantities plotted with reference to a set of axes
package,a collection of things wrapped or boxed together
worn,be dressed in
preferred,like better; value more highly
natural,someone regarded as certain to succeed
pleaded,appeal or request earnestly
troubles,a source of difficulty
womanly,befitting or characteristic of a woman especially a mature woman
problem,a state of difficulty that needs to be resolved
shifting,the act of moving from one place to another
polka,music performed for dancing the polka
playing,the act of playing a musical instrument
piano,a keyboard instrument that is played by depressing keys that cause hammers to strike tuned strings and produce sounds
drifted,be in motion due to some air or water current
overheard,"hear, usually without the knowledge of the speakers"
hates,the emotion of intense dislike; a feeling of dislike so strong that it demands action
snack,a light informal meal
disappointed,fail to meet the hopes or expectations of
creepy,annoying and unpleasant
scholar,a learned person (especially in the humanities); someone who by long study has gained mastery in one or more disciplines
drove,a group of animals (a herd or flock) moving together
setting,the context and environment in which something is set
couples,a pair who associate with one another
waltzes,an assured victory (especially in an election)
knows,the fact of being aware of information that is known to few people
ninety,the cardinal number that is the product of ten and nine
percent,a proportion in relation to a whole (which is usually the amount per hundred)
exchanged,"give to, and receive from, one another"
thread,a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving
hiccuped,"breathe spasmodically, and make a sound"
laugh,the sound of laughing
aside,a line spoken by an actor to the audience but not intended for others on the stage
professors,someone who is a member of the faculty at a college or university
lean,the property possessed by a line or surface that departs from the vertical
balancing,getting two things to correspond
toddler,a young child
type,a subdivision of a particular kind of thing
sponge,a porous mass of interlacing fibers that forms the internal skeleton of various marine animals and usable to absorb water or any porous rubber or cellulose product similarly used
stamp,the distinctive form in which a thing is made
child,a young person of either sex
district,a region marked off for administrative or other purposes
edge,the boundary of a surface
squeeze,the act of gripping and pressing firmly
christian,a religious person who believes Jesus is the Christ and who is a member of a Christian denomination
paperwork,work that involves handling papers: forms or letters or reports etc.
spinning,creating thread
heap,a collection of objects laid on top of each other
dinning,"make a resonant sound, like artillery"
cradled,hold gently and carefully
parlor,reception room in an inn or club where visitors can be received
fit,a display of bad temper
employees,a worker who is hired to perform a job
courts,an assembly (including one or more judges) to conduct judicial business
filing,the entering of a legal document into the public record
applications,the act of bringing something to bear; using it for a particular purpose
membership,the body of members of an organization or group
bills,a statute in draft before it becomes law
hundredth,position 100 in a countable series of things
routine,an unvarying or habitual method or procedure
blocks,a solid piece of something (usually having flat rectangular sides)
addressed,speak to
’cause,unavailable
ripping,tear or be torn violently
gets,a return on a shot that seemed impossible to reach and would normally have resulted in a point for the opponent
envelopes,"a flat (usually rectangular) container for a letter, thin package, etc."
putting,hitting a golf ball that is on the green using a putter
envelope,"a flat (usually rectangular) container for a letter, thin package, etc."
duties,the social force that binds you to the courses of action demanded by that force; ; - John D.Rockefeller Jr
finds,a productive insight
hummed,sing with closed lips
softly,with low volume
worked,exert oneself by doing mental or physical work for a purpose or out of necessity
silently,without speaking
cookies,any of various small flat sweet cakes (`biscuit' is the British term)
opinion,a personal belief or judgment that is not founded on proof or certainty
trust,something (as property) held by one party (the trustee) for the benefit of another (the beneficiary)
worst,the least favorable outcome
lesson,a unit of instruction
plans,a series of steps to be carried out or goals to be accomplished
complimented,say something to someone that expresses praise
washing,the work of cleansing (usually with soap and water)
twelfth,position 12 in a countable series of things
counter,table consisting of a horizontal surface over which business is transacted
spatula,a turner with a narrow flexible blade
tall,a garment size for a tall person
oven,kitchen appliance used for baking or roasting
opportunity,a possibility due to a favorable combination of circumstances
eating,the act of consuming food
till,unstratified soil deposited by a glacier; consists of sand and clay and gravel and boulders mixed together
milk,a white nutritious liquid secreted by mammals and used as food by human beings
batch,all the loaves of bread baked at the same time
convince,"make (someone) agree, understand, or realize the truth or validity of something"
hopefully,with hope; in a hopeful manner
faint,a spontaneous loss of consciousness caused by insufficient blood to the brain
sets,a group of things of the same kind that belong together and are so used
goodness,that which is pleasing or valuable or useful
fifteenth,position 15 in a countable series of things
follow,"to travel behind, go after, come after"
plan,a series of steps to be carried out or goals to be accomplished
sentences,a string of words satisfying the grammatical rules of a language
disagree,be of different opinions
agrees,be in accord; be in agreement
followed,"to travel behind, go after, come after"
grader,a judge who assigns grades to something
dynamite,an explosive containing nitrate sensitized with nitroglycerin absorbed on wood pulp
sticks,an implement consisting of a length of wood
squirrel,a kind of arboreal rodent having a long bushy tail
intently,with strained or eager attention
rummaged,search haphazardly
rodents,relatively small placental mammals having a single pair of constantly growing incisor teeth specialized for gnawing
luck,your overall circumstances or condition in life (including everything that happens to you)
moly,unavailable
holy,a sacred place of pilgrimage
recognize,accept (someone) to be what is claimed or accept his power and authority
halfway,equally distant from the extremes
arms,weapons considered collectively
crossed,travel across or pass over
frown,a facial expression of dislike or displeasure
shower,a plumbing fixture that sprays water over you
catch,a drawback or difficulty that is not readily evident
longer,a person with a strong desire for something
warn,"notify of danger, potential harm, or risk"
goes,a time for working (after which you will be relieved by someone else)
pitcher,(baseball) the person who does the pitching
renewed,"reestablish on a new, usually improved, basis or make new or like new"
drank,take in liquids
stressful,extremely irritating to the nerves
fired,start firing a weapon
principals,the original amount of a debt on which interest is calculated
secretaries,a person who is head of an administrative department of government
tow,the act of hauling something (as a vehicle) by means of a hitch or rope
returned,"go or come back to place, condition, or activity where one has been before"
firing,the act of firing weapons or artillery at an enemy
declared,state emphatically and authoritatively
quorum,a gathering of the minimal number of members of an organization to conduct business
discuss,an athletic competition in which a disk-shaped object is thrown as far as possible
firings,the act of firing weapons or artillery at an enemy
ate,goddess of criminal rashness and its punishment
supportive,furnishing support or assistance
fire,the event of something burning (often destructive)
president,an executive officer of a firm or corporation
including,"have as a part, be made up out of"
fault,a wrong action attributable to bad judgment or ignorance or inattention
targeting,intend (something) to move towards a certain goal
threats,something that is a source of danger
silver,a soft white precious univalent metallic element having the highest electrical and thermal conductivity of any metal; occurs in argentite and in free form; used in coins and jewelry and tableware and photography
rehire,unavailable
grandmother,the mother of your father or mother
podium,a platform raised above the surrounding level to give prominence to the person on it
conclusion,a position or opinion or judgment reached after consideration
absolutely,completely and without qualification; used informally as intensifiers
frustrated,"hinder or prevent (the efforts, plans, or desires) of"
believes,any cognitive content held as true
reassured,cause to feel sure; give reassurance to
views,a way of regarding situations or topics etc.
educator,someone who educates young people
auditorium,the area of a theater or concert hall where the audience sits
stage,any distinct time period in a sequence of events
